song_id,Name,Genre,Explicit
0,Hold On,acoustic,False
1,Say Something,acoustic,False
2,I'm Yours,acoustic,False
3,Lucky,acoustic,False
4,Give Me Your Forever,acoustic,False
5,I Won't Give Up,acoustic,False
6,Hold On - Remix,acoustic,False
7,Lucky,acoustic,False
8,I'm Yours,acoustic,False
9,Say Something,acoustic,False
10,93 Million Miles,acoustic,False
11,Unlonely,acoustic,False
12,Bella Luna,acoustic,False
13,Winter Wonderland,acoustic,False
14,If It Kills Me,acoustic,False
15,Winter Wonderland,acoustic,False
16,Winter Wonderland,acoustic,False
17,Winter Wonderland,acoustic,False
18,Winter Wonderland,acoustic,False
19,All I Want For Christmas Is A Real Good Tan,acoustic,False
20,Party of One,acoustic,False
21,Party of One,acoustic,False
22,Party of One,acoustic,False
23,Throwing Good After Bad,acoustic,False
24,This Time Tomorrow,acoustic,False
25,When You're Wrong,acoustic,False
26,"Speak Your Mind (From the Netflix Series ""We The People"")",acoustic,False
27,Sleepwalking in the Rain,acoustic,False
28,Gravity,acoustic,False
29,What's Left of You,acoustic,True
30,Pano,acoustic,False
31,She Used To Be Mine,acoustic,False
32,93 Million Miles,acoustic,False
33,Kaleidoscope,acoustic,False
34,Have It All,acoustic,False
35,Brave,acoustic,False
36,I Won't Give Up,acoustic,False
37,Absolutely Zero,acoustic,False
38,Sleep All Day,acoustic,False
39,You and I Both,acoustic,False
40,Who Needs Shelter,acoustic,False
41,No Stopping Us,acoustic,False
42,I'll Do Anything,acoustic,False
43,The Remedy (I Won't Worry),acoustic,False
44,Too Much Food,acoustic,False
45,The Boy's Gone,acoustic,False
46,"On Love, in Sadness",acoustic,False
47,Curbside Prophet,acoustic,False
48,"Tonight, Not Again - Live",acoustic,False
49,"Tonight, Not Again",acoustic,False
50,What You Need,acoustic,False
51,I'm Yours,acoustic,False
52,Say Something,acoustic,False
53,Love Song,acoustic,False
54,The Story,acoustic,False
55,Let's See What The Night Can Do,acoustic,False
56,Tortured Soul,acoustic,False
57,Say Something,acoustic,False
58,Binibini,acoustic,False
59,Habang Buhay,acoustic,False
60,Nangangamba,acoustic,False
61,Say Something,acoustic,False
62,Heart Can’t Lose,acoustic,False
63,Empty,acoustic,False
64,Hold You in My Arms,acoustic,False
65,Such A Simple Thing,acoustic,False
66,More Than Friends (feat. Meghan Trainor),acoustic,False
67,I Choose You,acoustic,False
68,Asan Ka Na Ba,acoustic,False
69,Love Someone,acoustic,False
70,Love You To Death,acoustic,False
71,Jolene,acoustic,False
72,Three More Days,acoustic,False
73,Calm Me Down,acoustic,False
74,Binibini (Last Day On Earth) (feat. James TW),acoustic,False
75,Hold On - Acoustic,acoustic,False
76,As You Are,acoustic,False
77,Binibini,acoustic,False
78,Say Something,acoustic,False
79,Look For The Good (Single Version),acoustic,False
80,I Don't Wanna Love Somebody Else,acoustic,False
81,Carried Me With You,acoustic,False
82,Beautiful Disaster,acoustic,False
83,Fall on Me,acoustic,False
84,You Are the Best Thing,acoustic,False
85,Give Me Your Forever,acoustic,False
86,Pero,acoustic,False
87,Habang Buhay,acoustic,False
88,The Remedy (I Won't Worry),acoustic,False
